id,Group Code,Date Registered,TeamSize,ISE447-Company,Mission,Vision,Sector,C1,Clr,Members - Group Code
1,G02,2025-10-06,5,Optivest Investment,,,Energy,,,"s202158010,s202160090,s202165690,s202166830,s202186070"
2,G05,2025-10-06,5,Next Advanced Opportunities Investments,,,Technology,,,"s202024600,s202159270,s202167350,s202178250,s202153490"
3,G07,2025-10-06,5,Khaleej Investment Cooperative,,,Banking,,,"s202031640,s202162850,s202171650,s202161410,s202030800"
4,G01,2025-10-06,4,Energy Core,,,Energy,,,"s202015740,s202016080,s202162150,s202168010"
5,G10,2025-10-06,4,Industrials Investment Co.,,,Energy,,,"s202013820,s202026680,s202031000,s202032900"
6,G11,2025-10-06,4,Core Truvesta Holdings,,,Banking,,,"s202175290,s202184490,s202160930,s202178990"
7,G12,2025-10-06,4,BloomVest,,,Food & Beverages,,,"s202177290,s202181790,s202184510,s202174050"
8,G09,2025-10-06,4,Al-Riyadah Capital,,,Food & Beverages,,,"s201968670,s202032800,s202042420,s202066100"
9,G13,2025-10-06,3,Optima Partners Capital,,,Energy,,,"s202028820,s202158670,s202165890"
10,G15,2025-10-06,3,MMA Investment Group,,,Energy,,,"s201967370,s202046060,s202065320"
14,G00,,4,Dummy,,,Others,,,s202012345
